id,title,display_name,publication_date,language
https://openalex.org/W3038568908,Radiation Resistant Camera System for Monitoring Deuterium Plasma Discharges in the Large Helical Device,Radiation Resistant Camera System for Monitoring Deuterium Plasma Discharges in the Large Helical Device,2020-06-08,en
https://openalex.org/W1775749144,PROTEIN MEASUREMENT WITH THE FOLIN PHENOL REAGENT,PROTEIN MEASUREMENT WITH THE FOLIN PHENOL REAGENT,1951-11-01,zu
https://openalex.org/W2100837269,Cleavage of Structural Proteins during the Assembly of the Head of Bacteriophage T4,Cleavage of Structural Proteins during the Assembly of the Head of Bacteriophage T4,1970-08-01,en
https://openalex.org/W2128635872,A Rapid and Sensitive Method for the Quantitation of Microgram Quantities of Protein Utilizing the Principle of Protein-Dye Binding,A Rapid and Sensitive Method for the Quantitation of Microgram Quantities of Protein Utilizing the Principle of Protein-Dye Binding,1976-05-07,en
https://openalex.org/W2194775991,Deep Residual Learning for Image Recognition,Deep Residual Learning for Image Recognition,2016-06-01,en
https://openalex.org/W1981368803,Generalized Gradient Approximation Made Simple,Generalized Gradient Approximation Made Simple,1996-10-28,en
https://openalex.org/W4293247451,A rapid and sensitive method for the quantitation of microgram quantities of protein utilizing the principle of protein-dye binding,A rapid and sensitive method for the quantitation of microgram quantities of protein utilizing the principle of protein-dye binding,1976-05-01,en
https://openalex.org/W1979290264,Using thematic analysis in psychology,Using thematic analysis in psychology,2006-01-01,en
https://openalex.org/W2107277218,Analysis of Relative Gene Expression Data Using Real-Time Quantitative PCR and the 2−ΔΔCT Method,Analysis of Relative Gene Expression Data Using Real-Time Quantitative PCR and the 2−ΔΔCT Method,2001-12-01,en
https://openalex.org/W2144634347,Molecular Cloning: A Laboratory Manual,Molecular Cloning: A Laboratory Manual,1989-01-01,en
https://openalex.org/W2911964244,Random Forests,Random Forests,2001-10-01,en
https://openalex.org/W2083222334,Efficient iterative schemes for<i>ab initio</i>total-energy calculations using a plane-wave basis set,Efficient iterative schemes for<i>ab initio</i>total-energy calculations using a plane-wave basis set,1996-10-15,en
https://openalex.org/W4247665917,Diagnostic and Statistical Manual of Mental Disorders,Diagnostic and Statistical Manual of Mental Disorders,2013-05-22,en
https://openalex.org/W3128646645,Global Cancer Statistics 2020: GLOBOCAN Estimates of Incidence and Mortality Worldwide for 36 Cancers in 185 Countries,Global Cancer Statistics 2020: GLOBOCAN Estimates of Incidence and Mortality Worldwide for 36 Cancers in 185 Countries,2021-02-04,en
https://openalex.org/W2110065044,Controlling the False Discovery Rate: A Practical and Powerful Approach to Multiple Testing,Controlling the False Discovery Rate: A Practical and Powerful Approach to Multiple Testing,1995-01-01,en
https://openalex.org/W2071666535,Cutoff criteria for fit indexes in covariance structure analysis: Conventional criteria versus new alternatives,Cutoff criteria for fit indexes in covariance structure analysis: Conventional criteria versus new alternatives,1999-01-01,en
https://openalex.org/W2143981217,Density-functional thermochemistry. III. The role of exact exchange,Density-functional thermochemistry. III. The role of exact exchange,1993-04-01,en
https://openalex.org/W2179438025,Moderated estimation of fold change and dispersion for RNA-seq data with DESeq2,Moderated estimation of fold change and dispersion for RNA-seq data with DESeq2,2014-12-05,en
https://openalex.org/W2023271753,Development of the Colle-Salvetti correlation-energy formula into a functional of the electron density,Development of the Colle-Salvetti correlation-energy formula into a functional of the electron density,1988-01-15,en
https://openalex.org/W2064675550,Long Short-Term Memory,Long Short-Term Memory,1997-11-01,en
https://openalex.org/W3118615836,The PRISMA 2020 statement: an updated guideline for reporting systematic reviews,The PRISMA 2020 statement: an updated guideline for reporting systematic reviews,2021-03-29,en
https://openalex.org/W2055043387,Basic local alignment search tool,Basic local alignment search tool,1990-10-01,en
https://openalex.org/W1970127494,Projector augmented-wave method,Projector augmented-wave method,1994-12-15,en
https://openalex.org/W1901129140,U-Net: Convolutional Networks for Biomedical Image Segmentation,U-Net: Convolutional Networks for Biomedical Image Segmentation,2015-01-01,en
https://openalex.org/W2889646458,Global cancer statistics 2018: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries,Global cancer statistics 2018: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries,2018-09-12,en
https://openalex.org/W2131350133,A short history of<i>SHELX</i>,A short history of<i>SHELX</i>,2007-12-21,en
https://openalex.org/W1847168837,“Mini-mental state”,“Mini-mental state”,1975-11-01,en
https://openalex.org/W2314225431,Molecular cloning: A laboratory manual,Molecular cloning: A laboratory manual,1990-04-01,en
https://openalex.org/W1951724000,Fitting Linear Mixed-Effects Models Using <b>lme4</b>,Fitting Linear Mixed-Effects Models Using <b>lme4</b>,2015-01-01,en
https://openalex.org/W2099697766,The theory of planned behavior,The theory of planned behavior,1991-12-01,en
https://openalex.org/W4300870773,Statistical Power Analysis for the Behavioral Sciences,Statistical Power Analysis for the Behavioral Sciences,1989-11-01,en
https://openalex.org/W1979544533,From ultrasoft pseudopotentials to the projector augmented-wave method,From ultrasoft pseudopotentials to the projector augmented-wave method,1999-01-15,en
https://openalex.org/W2156098321,Preferred reporting items for systematic reviews and meta-analyses: the PRISMA statement,Preferred reporting items for systematic reviews and meta-analyses: the PRISMA statement,2009-07-21,en
https://openalex.org/W2919115771,Deep learning,Deep learning,2015-05-26,en
https://openalex.org/W1995875735,A Mathematical Theory of Communication,A Mathematical Theory of Communication,1948-07-01,en
https://openalex.org/W2164777277,The Measurement of Observer Agreement for Categorical Data,The Measurement of Observer Agreement for Categorical Data,1977-03-01,en
https://openalex.org/W1484864026,Using multivariate statistics,Using multivariate statistics,1983-01-01,en
https://openalex.org/W2106096361,Common method biases in behavioral research: A critical review of the literature and recommended remedies.,Common method biases in behavioral research: A critical review of the literature and recommended remedies.,2003-01-01,en
https://openalex.org/W4385245566,MizAR 60 for Mizar 50,MizAR 60 for Mizar 50,2023-01-01,en
https://openalex.org/W2163605009,ImageNet classification with deep convolutional neural networks,ImageNet classification with deep convolutional neural networks,2017-05-24,en
https://openalex.org/W1527311855,Case Study Research: Design and Methods,Case Study Research: Design and Methods,1984-10-01,en
https://openalex.org/W2007395042,Efficiency of ab-initio total energy calculations for metals and semiconductors using a plane-wave basis set,Efficiency of ab-initio total energy calculations for metals and semiconductors using a plane-wave basis set,1996-07-01,en
https://openalex.org/W2158714788,Gapped BLAST and PSI-BLAST: a new generation of protein database search programs,Gapped BLAST and PSI-BLAST: a new generation of protein database search programs,1997-09-01,en
https://openalex.org/W1856219842,Standard methods: For the examination of water and waste water,Standard methods: For the examination of water and waste water,1990-04-01,en
https://openalex.org/W1971440513,"The moderator-mediator variable distinction in social psychological research: Conceptual, strategic, and statistical considerations.","The moderator-mediator variable distinction in social psychological research: Conceptual, strategic, and statistical considerations.",1986-01-01,en
https://openalex.org/W2167279371,Fiji: an open-source platform for biological-image analysis,Fiji: an open-source platform for biological-image analysis,2012-06-28,en
https://openalex.org/W2752617332,"Theory of the firm: Managerial behavior, agency costs and ownership structure","Theory of the firm: Managerial behavior, agency costs and ownership structure",1976-10-01,en
https://openalex.org/W4292811746,"The moderator–mediator variable distinction in social psychological research: Conceptual, strategic, and statistical considerations.","The moderator–mediator variable distinction in social psychological research: Conceptual, strategic, and statistical considerations.",1986-01-01,en
https://openalex.org/W2036113194,Special points for Brillouin-zone integrations,Special points for Brillouin-zone integrations,1976-06-15,en
https://openalex.org/W2131271579,Trimmomatic: a flexible trimmer for Illumina sequence data,Trimmomatic: a flexible trimmer for Illumina sequence data,2014-04-01,en
https://openalex.org/W2138270253,DNA sequencing with chain-terminating inhibitors,DNA sequencing with chain-terminating inhibitors,1977-12-01,en
https://openalex.org/W4235678817,Evaluating Structural Equation Models with Unobservable Variables and Measurement Error,Evaluating Structural Equation Models with Unobservable Variables and Measurement Error,1981-02-01,en
https://openalex.org/W2024556021,A Revised Medium for Rapid Growth and Bio Assays with Tobacco Tissue Cultures,A Revised Medium for Rapid Growth and Bio Assays with Tobacco Tissue Cultures,1962-07-01,en
https://openalex.org/W2108234281,The Sequence Alignment/Map format and SAMtools,The Sequence Alignment/Map format and SAMtools,2009-06-08,en
https://openalex.org/W2029667189,VMD: Visual molecular dynamics,VMD: Visual molecular dynamics,1996-02-01,en
https://openalex.org/W1964184380,Mutation of the mouse klotho gene leads to a syndrome resembling ageing.,Mutation of the mouse klotho gene leads to a syndrome resembling ageing.,1997-11-06,en
https://openalex.org/W2117692326,Hallmarks of Cancer: The Next Generation,Hallmarks of Cancer: The Next Generation,2011-03-01,en
https://openalex.org/W2058122340,Electric Field Effect in Atomically Thin Carbon Films,Electric Field Effect in Atomically Thin Carbon Films,2004-10-21,en
https://openalex.org/W4211007335,Fuzzy sets,Fuzzy sets,1965-06-01,en
https://openalex.org/W2107031757,Statistical power analysis for the behavioral sciences,Statistical power analysis for the behavioral sciences,1990-01-01,en
https://openalex.org/W2099540110,NIH Image to ImageJ: 25 years of image analysis,NIH Image to ImageJ: 25 years of image analysis,2012-06-28,en
https://openalex.org/W2168526937,A SIMPLE METHOD FOR THE ISOLATION AND PURIFICATION OF TOTAL LIPIDES FROM ANIMAL TISSUES,A SIMPLE METHOD FOR THE ISOLATION AND PURIFICATION OF TOTAL LIPIDES FROM ANIMAL TISSUES,1957-05-01,en
https://openalex.org/W2106882534,"CLUSTAL W: improving the sensitivity of progressive multiple sequence alignment through sequence weighting, position-specific gap penalties and weight matrix choice","CLUSTAL W: improving the sensitivity of progressive multiple sequence alignment through sequence weighting, position-specific gap penalties and weight matrix choice",1994-01-01,en
https://openalex.org/W2167590372,Revised effective ionic radii and systematic studies of interatomic distances in halides and chalcogenides,Revised effective ionic radii and systematic studies of interatomic distances in halides and chalcogenides,1976-09-01,en
https://openalex.org/W1791587663,"Perceived Usefulness, Perceived Ease of Use, and User Acceptance of Information Technology","Perceived Usefulness, Perceived Ease of Use, and User Acceptance of Information Technology",1989-09-01,en
